disease_id,disease_name
MESH:D005923,"Glomerulosclerosis, Focal Segmental"
MESH:D016115,"Albinism, Oculocutaneous"
MESH:D009503,Neutropenia
MESH:D018476,Hypokinesia
MESH:C567059,"Multiple Endocrine Neoplasia, Type IV"
MESH:C574275,Ectrodactyly
MESH:D001249,Asthma
MESH:C535836,"Pancreatic cancer, adult"
MESH:D010198,Pancytopenia
MESH:D007898,"Leishmaniasis, Visceral"
MESH:D020149,Manganese Poisoning
MESH:D006943,Hyperglycemia
MESH:D001943,Breast Neoplasms
MESH:D013612,"Tachycardia, Ectopic Atrial"
MESH:D009325,Nausea
MESH:C537758,"Renal tubular acidosis, distal, autosomal recessive"
MESH:D001281,Atrial Fibrillation
MESH:D014517,Ureteral Obstruction
MESH:D010391,"Pemphigoid, Bullous"
MESH:D002538,Intracranial Arteriovenous Malformations
MESH:D058489,"46, XX Disorders of Sex Development"
MESH:D009205,Myocarditis
MESH:D012770,"Shock, Cardiogenic"
MESH:D009374,"Neoplasms, Experimental"
MESH:D018500,"Diabetes Insipidus, Nephrogenic"
MESH:C567064,Phosphoribosylpyrophosphate Synthetase Superactivity
MESH:D007805,Language Development Disorders
MESH:D009389,"Neovascularization, Pathologic"
MESH:D007035,Hypothermia
MESH:D006332,Cardiomegaly
MESH:C535531,Intervertebral disc disease
MESH:D009767,"Obesity, Morbid"
MESH:D000037,Abruptio Placentae
MESH:D007634,Keratitis
MESH:D001002,Anuria
MESH:C535575,"[OBSOLETE] Carcinoma, squamous cell of head and neck"
MESH:D010212,Papilloma
MESH:D018281,Cholangiocarcinoma
MESH:D000544,Alzheimer Disease
MESH:C566381,Megalancephaly Polymicrogyria-Polydactyly Hydrocephalus Syndrome
MESH:D016535,Bronchial Hyperreactivity
MESH:D005334,Fever
MESH:D004830,"Epilepsy, Tonic-Clonic"
MESH:D009765,Obesity
MESH:D046628,Sphincter of Oddi Dysfunction
MESH:D005922,"Glomerulonephritis, IGA"
MESH:D012128,Respiratory Distress Syndrome
MESH:D001927,Brain Diseases
MESH:D054559,Hyperphosphatemia
MESH:D001157,Arterial Occlusive Diseases
MESH:C535504,"Epiphyseal dysplasia, multiple, 4"
MESH:D012220,Rhinitis
MESH:D066126,Cardiotoxicity
MESH:D001254,Astrocytoma
MESH:D016108,Epidermolysis Bullosa Dystrophica
MESH:D052496,"Lipodystrophy, Familial Partial"
MESH:D006527,Hepatolenticular Degeneration
MESH:D019964,Mood Disorders
MESH:C566899,"Microphthalmia, Isolated, with Coloboma 5"
MESH:D008268,Macular Degeneration
MESH:D000647,Amnesia
MESH:D020258,Neurotoxicity Syndromes
MESH:D010300,Parkinson Disease
MESH:D012829,Silicosis
MESH:D006528,"Carcinoma, Hepatocellular"
MESH:D012131,Respiratory Insufficiency
MESH:D013927,Thrombosis
MESH:D008106,"Liver Cirrhosis, Experimental"
MESH:D058447,Eye Pain
MESH:D001171,"Arthritis, Juvenile"
MESH:D018754,Ventricular Dysfunction
MESH:D001724,Birth Weight
MESH:D006330,"Heart Defects, Congenital"
MESH:D004443,Echinococcosis
MESH:D020261,Arsenic Poisoning
MESH:D016301,Alveolar Bone Loss
MESH:D006519,"Hepatitis, Alcoholic"
MESH:D009393,Nephritis
MESH:D003248,Constipation
MESH:D007674,Kidney Diseases
MESH:D009362,Neoplasm Metastasis
MESH:D055963,"Asthma, Aspirin-Induced"
MESH:D002779,Cholestasis
MESH:D010922,Placenta Diseases
MESH:D006501,Hepatic Encephalopathy
MESH:D001847,Bone Diseases
MESH:D006967,Hypersensitivity
MESH:D016410,"Lymphoma, T-Cell, Cutaneous"
MESH:D009101,Multiple Myeloma
MESH:D014424,Turner Syndrome
MESH:D056486,Chemical and Drug Induced Liver Injury
MESH:D055501,Macrophage Activation Syndrome
MESH:D018879,Ventricular Premature Complexes
MESH:D020642,Acatalasia
MESH:D019969,Amphetamine-Related Disorders
MESH:D060050,"Angina, Stable"
MESH:D007938,Leukemia
MESH:D007752,"Obstetric Labor, Premature"
MESH:D003324,Coronary Artery Disease
MESH:D019873,Schnitzler Syndrome
MESH:D000230,Adenocarcinoma
MESH:D012751,Sezary Syndrome
MESH:D008305,Malignant Hyperthermia
MESH:C563160,Oculodentodigital Dysplasia
MESH:D004940,Esophageal Stenosis
MESH:D003865,Major Depressive Disorder
MESH:D006331,Heart Diseases
MESH:D015427,Reperfusion Injury
MESH:D011656,Pulmonary Emphysema
MESH:D006470,Hemorrhage
MESH:D012221,"Rhinitis, Allergic, Perennial"
MESH:D017436,Kallmann Syndrome
MESH:D006948,Hyperkinesis
MESH:C537249,"Hemochromatosis, type 4"
MESH:D000405,Akinetic Mutism
MESH:D041781,"Jaundice, Obstructive"
MESH:D019247,HIV Wasting Syndrome
MESH:D003920,Diabetes Mellitus
MESH:D001932,Brain Neoplasms
MESH:D017285,Polymyositis
MESH:D015459,"Leukemia-Lymphoma, Adult T-Cell"
MESH:D005953,Glycogen Storage Disease Type I
MESH:D006258,Head and Neck Neoplasms
MESH:D012804,Sick Sinus Syndrome
MESH:D054220,Malformations of Cortical Development
MESH:D013964,Thyroid Neoplasms
MESH:C535932,Intrahepatic Cholestasis of Pregnancy
MESH:D064420,Drug-Related Side Effects and Adverse Reactions
MESH:D000756,"Anemia, Sideroblastic"
MESH:D011014,Pneumonia
MESH:D003693,Delirium
MESH:D014648,Varicose Veins
MESH:D009102,Multiple Organ Failure
MESH:D017379,"Hypertrophy, Left Ventricular"
MESH:D012507,Sarcoidosis
MESH:D011658,Pulmonary Fibrosis
MESH:D003329,Coronary Vasospasm
MESH:D000141,"Acidosis, Renal Tubular"
MESH:D006319,"Hearing Loss, Sensorineural"
