drug_id,drug_name
DB00564,Carbamazepine
DB01759,Kojic acid
DB00451,Levothyroxine
DB00641,Simvastatin
DB01072,Atazanavir
DB00481,Raloxifene
DB00814,Meloxicam
DB00636,Clofibrate
DB04173,Fructose
DB00091,Cyclosporine
DB00851,Dacarbazine
DB01656,Roflumilast
DB01378,Magnesium cation
DB00749,Etodolac
DB00300,Tenofovir disoproxil
DB01093,Dimethyl sulfoxide
DB01164,Calcium chloride
DB00515,Cisplatin
DB01394,Colchicine
DB00727,Nitroglycerin
DB04513,N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide
DB01235,Levodopa
DB01174,Phenobarbital
DB00170,Menadione
DB01042,Melphalan
DB00312,Pentobarbital
DB00763,Methimazole
DB00396,Progesterone
DB00820,Tadalafil
DB00722,Lisinopril
DB01026,Ketoconazole
DB00758,Clopidogrel
DB01370,Aluminium
DB02365,"1,10-Phenanthroline"
DB00421,Spironolactone
DB02712,Sorbinil
DB00388,Phenylephrine
DB00755,Tretinoin
DB01110,Miconazole
DB00934,Maprotiline
DB00199,Erythromycin
DB04381,Crotonaldehyde
DB00323,Tolcapone
DB00040,Glucagon
DB00252,Phenytoin
DB00158,Folic acid
DB00122,Choline
DB02210,"Hexane-1,6-Diol"
DB00503,Ritonavir
DB00910,Paricalcitol
DB00773,Etoposide
DB04540,Cholesterol
DB01750,1-naphthaleneacetic acid
DB01454,Midomafetamine
DB00495,Zidovudine
DB00305,Mitomycin
DB00714,Apomorphine
DB01919,Pentanal
DB00197,Troglitazone
DB00574,Fenfluramine
DB01006,Letrozole
DB00897,Triazolam
DB01202,Levetiracetam
DB04817,Metamizole
DB00177,Valsartan
DB00313,Valproic acid
DB01173,Orphenadrine
DB00381,Amlodipine
DB02424,Geldanamycin
DB03435,Uridine-5'-Diphosphate
DB01917,Putrescine
DB00590,Doxazosin
DB01436,Alfacalcidol
DB01213,Fomepizole
DB01169,Arsenic trioxide
DB04557,Arachidonic Acid
DB04690,Camptothecin
DB00403,Ceruletide
DB00134,Methionine
DB00999,Hydrochlorothiazide
DB00970,Dactinomycin
DB01024,Mycophenolic acid
DB00844,Nalbuphine
DB03138,Perchlorate
DB00914,Phenformin
DB00929,Misoprostol
DB01428,Oxybenzone
DB01131,Proguanil
DB00549,Zafirlukast
DB00742,Mannitol
DB00333,Methadone
DB01221,Ketamine
DB01200,Bromocriptine
DB00781,Polymyxin B
DB00367,Levonorgestrel
DB01435,Antipyrine
DB01159,Halothane
DB00331,Metformin
DB00685,Trovafloxacin
DB00753,Isoflurane
DB00798,Gentamicin
DB00206,Reserpine
DB01039,Fenofibrate
DB00694,Daunorubicin
DB00544,Fluorouracil
DB01014,Balsalazide
DB00489,Sotalol
DB00394,Beclomethasone dipropionate
DB00465,Ketorolac
DB00563,Methotrexate
DB00359,Sulfadiazine
DB03128,Acetylcholine
DB00457,Prazosin
DB00471,Montelukast
DB02772,Sucrose
DB00855,Aminolevulinic acid
DB01204,Mitoxantrone
DB00201,Caffeine
DB02116,Olomoucine
DB03575,Phencyclidine
DB01320,Fosphenytoin
DB00761,Potassium chloride
DB00186,Lorazepam
DB01954,Rolipram
DB01199,Tubocurarine
DB01248,Docetaxel
DB01536,Androstenedione
DB01592,Iron
DB00624,Testosterone
DB00431,Lindane
DB00646,Nystatin
DB02342,2-Methoxyestradiol
DB01073,Fludarabine
DB00446,Chloramphenicol
DB00762,Irinotecan
DB01933,7-Hydroxystaurosporine
DB04115,Berberine
DB00157,NADH
DB00764,Mometasone
DB00255,Diethylstilbestrol
DB01083,Orlistat
DB00950,Fexofenadine
DB04216,Quercetin
DB00811,Ribavirin
DB00672,Chlorpropamide
DB02709,Resveratrol
DB01211,Clarithromycin
DB01094,Hesperetin
DB04331,Monastrol
DB02056,Prostaglandin D2
DB02546,Vorinostat
DB01224,Quetiapine
DB00512,Vancomycin
DB00783,Estradiol
DB00643,Mebendazole
DB02315,Cyclic GMP
DB00584,Enalapril
DB00391,Sulpiride
DB01420,Testosterone propionate
DB00325,Nitroprusside
DB01576,Dextroamphetamine
DB00118,Ademetionine
DB00859,Penicillamine
DB01060,Amoxicillin
DB01425,Alizapride
